portfolio_id,security_id,trade_date,quantity,average_cost
PORT_001,AAPL,2026-05-01,500,180.25
PORT_001,MSFT,2026-05-01,300,420.10
PORT_001,NVDA,2026-05-01,200,135.50
PORT_001,JPM,2026-05-01,400,195.40
PORT_001,GS,2026-05-01,150,480.00
PORT_001,JNJ,2026-05-01,350,155.20
PORT_001,AMZN,2026-05-01,250,185.75
PORT_001,XOM,2026-05-01,300,110.30
PORT_001,DIS,2026-05-01,400,95.60
PORT_001,GOOGL,2026-05-01,200,165.40
PORT_002,MSFT,2026-05-01,150,420.10
PORT_002,JPM,2026-05-01,200,195.40
PORT_002,JNJ,2026-05-01,300,155.20
PORT_002,PG,2026-05-01,400,165.80
PORT_002,KO,2026-05-01,500,62.30
PORT_002,CVX,2026-05-01,250,150.20
PORT_002,GOVT,2026-05-01,600,24.50
PORT_002,LQD,2026-05-01,500,108.75
